城市,16-Jan,同比上年同月
北　　京,148.8,98.9
天　　津,129.1,99.2
石 家 庄,122.1,101.2
太　　原,112.4,106
呼和浩特,101.2,102.3
沈　　阳,108.5,106.5
大　　连,105.9,104.8
长　　春,106.6,104.8
哈 尔 滨,108.6,106.7
上　　海,142.3,99.6
南　　京,131.6,98.9
杭　　州,135.1,107.5
宁　　波,117.5,106.9
合　　肥,152.7,98.7
福　　州,125.8,107.3
厦　　门,146.9,105
南　　昌,120.5,105.9
济　　南,121.3,103.9
青　　岛,120.2,109.6
郑　　州,132.1,102.9
武　　汉,138,110.4
长　　沙,125.7,113.5
广　　州,148.8,113.5
深　　圳,149,103.6
南　　宁,114.7,108.9
海　　口,102.7,100.9
重　　庆,115.2,109.5
成　　都,111.9,105.4
贵　　阳,107.2,104.9
昆　　明,106.9,104.1
西　　安,105.9,109.6
兰　　州,105.5,103.7
西　　宁,101.1,101.8
银　　川,100.6,101
乌鲁木齐,106.3,109.4
唐　　山,106.9,105.8
秦 皇 岛,110.1,107.4
包　　头,99.5,102.8
丹　　东,99.4,102.2
锦　　州,93.7,99.8
吉　　林,105.3,103.8
牡 丹 江,104.8,103.4
无　　锡,130.9,109.4
扬　　州,112.6,107
徐　　州,111,105.6
温　　州,114,107.5
金　　华,114.8,108.2
蚌　　埠,112.7,109
安　　庆,112.9,107.6
泉　　州,111.6,107
九　　江,116.7,106.4
赣　　州,112.4,102.3
烟　　台,110.4,107.8
济　　宁,107.6,107.1
洛　　阳,107.7,104.5
平 顶 山,101.9,104.5
宜　　昌,111,106.1
襄　　阳,105.3,103.7
岳　　阳,107.5,105.6
常　　德,107.2,104.2
惠　　州,123.2,107.4
湛　　江,108.5,109.1
韶　　关,107,106.2
桂　　林,101,103.9
北　　海,112.6,109.5
三　　亚,105.7,103.3
泸　　州,107.6,103.4
南　　充,110.2,106.8
遵　　义,106.5,105.5
大　　理,100.5,102
